City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
329,Great Falls,47.5002,-111.3008,52.66,31,75,12.66,US,2022-05-08 19:45:12,broken clouds
330,Palauig,15.435,119.9045,81.59,67,41,3.98,PH,2022-05-08 19:49:43,scattered clouds
331,Kilimatinde,-5.85,34.95,66.0,58,55,1.52,TZ,2022-05-08 19:49:43,broken clouds
332,Kasongo-Lunda,-6.4667,16.8167,76.8,72,71,0.81,CD,2022-05-08 19:49:44,broken clouds
333,Hornepayne,49.2138,-84.7705,66.69,19,89,15.08,CA,2022-05-08 19:49:44,overcast clouds
334,Cootamundra,-34.65,148.0333,40.95,90,0,5.37,AU,2022-05-08 19:49:45,clear sky
335,Luxor,25.6989,32.6421,87.85,18,0,3.44,EG,2022-05-08 19:49:45,clear sky
336,Manoel Urbano,-8.8389,-69.2597,88.02,53,70,0.18,BR,2022-05-08 19:49:46,broken clouds
337,East London,-33.0153,27.9116,62.1,76,25,11.68,ZA,2022-05-08 19:49:47,scattered clouds
338,Teguise,29.0605,-13.564,66.42,73,20,25.32,ES,2022-05-08 19:49:47,few clouds
339,Ribeira Grande,38.5167,-28.7,64.8,77,20,8.05,PT,2022-05-08 19:49:48,few clouds
340,Rawson,-43.3002,-65.1023,65.41,30,70,20.31,AR,2022-05-08 19:49:49,broken clouds
341,Constitucion,-35.3333,-72.4167,57.38,80,100,4.07,CL,2022-05-08 19:45:56,overcast clouds
342,Tommot,58.9564,126.2925,37.08,98,100,6.76,RU,2022-05-08 19:49:49,light rain
343,Lazaro Cardenas,17.9583,-102.2,84.6,53,12,11.5,MX,2022-05-08 19:49:50,few clouds
344,Mosnita Noua,45.7172,21.3253,57.36,82,0,6.91,RO,2022-05-08 19:49:51,clear sky
345,Bonthe,7.5264,-12.505,77.67,86,100,4.85,SL,2022-05-08 19:47:47,overcast clouds
346,Vinh,18.6667,105.6667,74.32,95,87,1.92,VN,2022-05-08 19:49:51,overcast clouds
347,Hirara,24.8,125.2833,76.78,86,90,4.65,JP,2022-05-08 19:47:36,overcast clouds
348,Ostrovnoy,68.0531,39.5131,27.41,80,25,5.77,RU,2022-05-08 19:49:52,scattered clouds
